timestamp,rank,label,name,posts,tweet_count,url
2025-09-16T12:29:55.943486,12,Trending in Turkey,kislasiz bedelli askerlik,,0,https://twitter.com/search?q=kislasiz%20bedelli%20askerlik
2025-09-16T12:29:55.943495,13,Sports · Trending,Bosna Hersek,,0,https://twitter.com/search?q=Bosna%20Hersek
2025-09-16T12:29:55.943503,14,Trending in Turkey,Kazanır,"4,323 posts",4323,https://twitter.com/search?q=Kazanır
2025-09-16T12:29:55.943512,15,Sports · Trending,Marco Guida,,0,https://twitter.com/search?q=Marco%20Guida
2025-09-16T12:29:55.943520,16,Sports · Trending,Trabzon,22.8K posts,228,https://twitter.com/search?q=Trabzon
2025-09-16T18:09:35.759149,1,,ŞampiyonlarLigi,,0,https://twitter.com/search?q=ŞampiyonlarLigi
2025-09-16T18:09:35.759166,2,Trending in Turkey,#KalbimizSumud,94.5K posts,945,https://twitter.com/search?q=%23KalbimizSumud
2025-09-16T18:09:35.759176,3,Only on X · Trending,#taylankulaçoğlu,"1,668 posts",1668,https://twitter.com/search?q=%23taylankulaçoğlu
2025-09-16T18:09:35.759188,4,Trending in Turkey,#salı,"5,924 posts",5924,https://twitter.com/search?q=%23salı
2025-09-16T18:09:35.759193,5,Trending in Turkey,#EmniyetinPromosyonu,94.2K posts,942,https://twitter.com/search?q=%23EmniyetinPromosyonu
2025-09-16T18:09:35.759198,6,Trending in Turkey,#TekGündemKademe,12.1K posts,121,https://twitter.com/search?q=%23TekGündemKademe
2025-09-16T18:09:35.759203,7,Entertainment · Trending,Robert Redford,133K posts,133,https://twitter.com/search?q=Robert%20Redford
2025-09-16T18:09:35.759208,8,Trending in Turkey,O.C.,85.3K posts,853,https://twitter.com/search?q=O.C.
2025-09-16T18:09:35.759212,9,Trending in Turkey,Işık Ökte,,0,https://twitter.com/search?q=Işık%20Ökte
2025-09-16T18:09:35.759217,10,Trending in Turkey,Sedat Peker,40.5K posts,405,https://twitter.com/search?q=Sedat%20Peker
2025-09-16T18:09:35.759222,11,Trending in Turkey,Asgari,"6,772 posts",6772,https://twitter.com/search?q=Asgari
2025-09-16T18:09:35.759226,12,Politics · Trending,Kudüs,"6,771 posts",6771,https://twitter.com/search?q=Kudüs
2025-09-16T18:09:35.759231,13,Trending in Turkey,kislasiz bedelli askerlik,,0,https://twitter.com/search?q=kislasiz%20bedelli%20askerlik
2025-09-16T18:09:35.759236,14,Trending in Turkey,Kazanır,"5,391 posts",5391,https://twitter.com/search?q=Kazanır
2025-09-16T18:09:35.759240,15,Trending in Technology,The iOS 26,"8,739 posts",8739,https://twitter.com/search?q=The%20iOS%2026
2025-09-16T18:09:35.759245,16,Trending in Turkey,Ufuk Özkan,"9,212 posts",9212,https://twitter.com/search?q=Ufuk%20Özkan
